source,target,timestamp,time_diff
fake_news_000_t00036,fake_news_000_t00035,2025-05-22 06:53:30.424025,0.0
fake_news_000_t00036,fake_news_000_t00024,2025-05-22 06:54:30.424025,60.0
fake_news_000_t00036,fake_news_000_t00025,2025-05-22 06:55:30.424025,120.0
fake_news_000_t00036,fake_news_000_t00013,2025-05-22 06:56:30.424025,180.0
fake_news_000_t00036,fake_news_000_t00090,2025-05-22 06:57:30.424025,240.0
fake_news_000_t00036,fake_news_000_t00002,2025-05-22 07:00:30.424025,420.0
fake_news_000_t00036,fake_news_000_t00038,2025-05-22 07:01:30.424025,480.0
fake_news_000_t00036,fake_news_000_t00056,2025-05-22 07:01:30.424025,480.0
fake_news_000_t00036,fake_news_000_t00007,2025-05-22 07:03:30.424025,600.0
fake_news_000_t00036,fake_news_000_t00050,2025-05-22 07:05:30.424025,720.0
fake_news_000_t00036,fake_news_000_t00084,2025-05-22 07:07:30.424025,840.0
fake_news_000_t00036,fake_news_000_t00073,2025-05-22 07:11:30.424025,1080.0
fake_news_000_t00036,fake_news_000_t00039,2025-05-22 07:12:30.424025,1140.0
fake_news_000_t00036,fake_news_000_t00008,2025-05-22 07:13:30.424025,1200.0
fake_news_000_t00036,fake_news_000_t00026,2025-05-22 07:13:30.424025,1200.0
fake_news_000_t00036,fake_news_000_t00000,2025-05-22 07:14:30.424025,1260.0
fake_news_000_t00036,fake_news_000_t00067,2025-05-22 07:15:30.424025,1320.0
fake_news_000_t00036,fake_news_000_t00043,2025-05-22 07:15:30.424025,1320.0
fake_news_000_t00036,fake_news_000_t00042,2025-05-22 07:16:30.424025,1380.0
fake_news_000_t00036,fake_news_000_t00017,2025-05-22 07:16:30.424025,1380.0
fake_news_000_t00036,fake_news_000_t00064,2025-05-22 07:17:30.424025,1440.0
fake_news_000_t00036,fake_news_000_t00021,2025-05-22 07:18:30.424025,1500.0
fake_news_000_t00036,fake_news_000_t00059,2025-05-22 07:19:30.424025,1560.0
fake_news_000_t00036,fake_news_000_t00072,2025-05-22 07:21:30.424025,1680.0
fake_news_000_t00036,fake_news_000_t00018,2025-05-22 07:21:30.424025,1680.0
fake_news_000_t00036,fake_news_000_t00012,2025-05-22 07:22:30.424025,1740.0
fake_news_000_t00036,fake_news_000_t00006,2025-05-22 07:23:30.424025,1800.0
fake_news_000_t00036,fake_news_000_t00097,2025-05-22 07:23:30.424025,1800.0
fake_news_000_t00036,fake_news_000_t00047,2025-05-22 07:25:30.424025,1920.0
fake_news_000_t00036,fake_news_000_t00080,2025-05-22 07:29:30.424025,2160.0
fake_news_000_t00036,fake_news_000_t00054,2025-05-22 07:31:30.424025,2280.0
fake_news_000_t00036,fake_news_000_t00086,2025-05-22 07:33:30.424025,2400.0
fake_news_000_t00036,fake_news_000_t00092,2025-05-22 07:37:30.424025,2640.0
fake_news_000_t00036,fake_news_000_t00037,2025-05-22 07:38:30.424025,2700.0
fake_news_000_t00036,fake_news_000_t00005,2025-05-22 07:38:30.424025,2700.0
